id,name,lat,lon,line,direction
490000256H,Wembley Central Station,51.55224,-0.29779,18,2
490006299B,Ealing Road,51.55221,-0.30153,18,2
490005583W,Copland Avenue,51.55157,-0.30754,18,2
490004335F,Bridgewater Road,51.55237,-0.31282,18,2
490001282N,Sudbury & Harrow Road Station,51.554166,-0.314914,18,2
490015832E,Grosvenor Road,51.48552,-0.14347,24,1
490011003E,Grosvenor Road,51.48521,-0.1415,24,1
490005367N,Claverton Street / Churchill Gardens,51.48602,-0.13775,24,1
490011004N,Pimlico Academy & Library,51.4876,-0.13839,24,1
490012708F,St George's Square / Pimlico Station,51.48894,-0.13544,24,1
490003837N,Belgrave Road,51.49049,-0.13866,24,1
490014259N,Warwick Way,51.49354,-0.14165,24,1
490000248H,Victoria Station,51.49566,-0.14303,24,1
490014496N,Westminster Cathedral,51.49683,-0.14026,24,1
490003384SA,Westminster City Hall,51.49742,-0.13663,24,1
490010260SC,St James's Park Station,51.49773,-0.1347,24,1
490014495R,Westminster Abbey,51.49903,-0.13099,24,1
490015048A,Westminster Stn  / Parliament Square,51.50187,-0.12637,24,1
490008376N,Horse Guards Parade,51.50405,-0.12641,24,1
490013767C,Trafalgar Sq / Charing Cross Stn,51.50826,-0.12734,24,1
490000135A,Leicester Square Station,51.51059,-0.12853,24,1
490004695N,Cambridge Circus,51.51251,-0.12871,24,1
490004695A,Denmark Street,51.51434,-0.1298,24,1
490000235C,Tottenham Court Road Station,51.51767,-0.13154,24,1
490000089A,Goodge Street Station,51.52113,-0.13505,24,1
490000252X,Warren Street Station,51.52411,-0.13765,24,1
490000252S,Hampstead Road / Drummond Street,51.52594,-0.13868,24,1
490010158N,Robert Street,51.52737,-0.13874,24,1
490000152A,Mornington Crescent Station,51.53403,-0.13932,24,1
490004714J,Camden High Street,51.53651,-0.14057,24,1
490015041X,Camden Town Station,51.53843,-0.14234,24,1
490007876O,Hartland Road / Camden Market,51.54229,-0.14693,24,1
490006798CK,Ferdinand Street,51.54427,-0.14932,24,1
490011200N,Prince of Wales Road,51.54551,-0.15003,24,1
490012765N,Malden Road,51.54653,-0.15129,24,1
490011330N,Queen's Crescent,51.54853,-0.1527,24,1
490012651N,St Dominic's Priory,51.55075,-0.15628,24,1
490009616N,Mansfield Road,51.55234,-0.15774,24,1
490009017N,Lawn Road,51.55327,-0.16092,24,1
490011760W,Royal Free Hospital,51.55376,-0.16382,24,1
490012280A,South End Green,51.5547,-0.16496,24,2
490005756E,Cressy Road,51.55456,-0.1615,24,2
490009204E,Mansfield Road,51.55356,-0.15872,24,2
